ts_epoch,J1,J2,J3,J4,J5,J6,X,Y,Z,W,P,R
1760042150.991644,"09-OCT-25 14:33 , 1531540527, -.012738, .007842, -.013228, .034940, -90.063927, -.057845, 1782.779, -2206.589, 928.705, 179.965, .077, -.070"
1760042151.053989,"09-OCT-25 14:33 , 1531540527, -.012741, .007839, -.013225, .034940, -90.063927, -.057845, 1782.779, -2206.589, 928.705, 179.965, .077, -.070"
1760042151.111122,"09-OCT-25 14:33 , 1531540527, -.012741, .007839, -.013221, .034940, -90.063927, -.057845, 1782.779, -2206.589, 928.705, 179.965, .077, -.070"
1760042151.1741068,"09-OCT-25 14:33 , 1531540527, -.012738, .007839, -.013221, .034940, -90.063927, -.057845, 1782.779, -2206.589, 928.705, 179.965, .077, -.070"
1760042151.2311697,"09-OCT-25 14:33 , 1531540527, -.012616, .007839, -.013221, .034940, -90.063927, -.057845, 1782.779, -2206.586, 928.705, 179.965, .077, -.070"
1760042151.2941825,"09-OCT-25 14:33 , 1531540527, -.012529, .007839, -.013221, .034940, -90.063927, -.057845, 1782.779, -2206.583, 928.705, 179.965, .077, -.070"
1760042151.351167,"09-OCT-25 14:33 , 1531540527, -.012422, .007839, -.013221, .034940, -90.063927, -.057845, 1782.779, -2206.581, 928.705, 179.965, .077, -.070"
1760042151.4074788,"09-OCT-25 14:33 , 1531540527, -.012246, .007839, -.013221, .034940, -90.063927, -.057845, 1782.779, -2206.576, 928.705, 179.965, .077, -.070"
1760042151.4708834,"09-OCT-25 14:33 , 1531540528, -.011902, .007839, -.013221, .034940, -90.063927, -.057845, 1782.779, -2206.566, 928.705, 179.965, .077, -.069"
1760042151.5260026,"09-OCT-25 14:33 , 1531540528, -.011410, .007839, -.013221, .034940, -90.063927, -.057845, 1782.779, -2206.552, 928.705, 179.965, .077, -.069"
1760042151.5922434,"09-OCT-25 14:33 , 1531540528, -.010514, .007839, -.013221, .034940, -90.063927, -.057845, 1782.779, -2206.528, 928.705, 179.965, .077, -.068"
1760042151.6462097,"09-OCT-25 14:33 , 1531540528, -.009293, .007839, -.013225, .034940, -90.063927, -.057845, 1782.779, -2206.494, 928.705, 179.965, .077, -.067"
1760042151.710948,"09-OCT-25 14:33 , 1531540528, -.007179, .007839, -.013225, .034940, -90.063927, -.057845, 1782.779, -2206.435, 928.705, 179.965, .077, -.065"
1760042151.7660198,"09-OCT-25 14:33 , 1531540528, -.004448, .007842, -.013225, .034940, -90.063927, -.057845, 1782.779, -2206.359, 928.705, 179.965, .077, -.062"
1760042151.831254,"09-OCT-25 14:33 , 1531540528, .000068, .007842, -.013225, .034940, -90.063927, -.057845, 1782.779, -2206.233, 928.705, 179.965, .077, -.057"
1760042151.8873303,"09-OCT-25 14:33 , 1531540528, .005660, .007842, -.013228, .034940, -90.063927, -.057845, 1782.779, -2206.078, 928.705, 179.965, .077, -.052"
1760042151.9509592,"09-OCT-25 14:33 , 1531540528, .014544, .007845, -.013231, .034940, -90.063927, -.057845, 1782.779, -2205.831, 928.705, 179.965, .077, -.043"
1760042152.0059958,"09-OCT-25 14:33 , 1531540528, .025149, .007845, -.013234, .034940, -90.063927, -.057845, 1782.779, -2205.537, 928.705, 179.965, .077, -.032"
1760042152.071263,"09-OCT-25 14:33 , 1531540528, .041437, .007850, -.013237, .034940, -90.063927, -.057845, 1782.779, -2205.084, 928.705, 179.965, .077, -.016"
1760042152.1259987,"09-OCT-25 14:33 , 1531540528, .060290, .007853, -.013243, .034940, -90.063927, -.057845, 1782.779, -2204.561, 928.705, 179.965, .077, .002"
1760042152.1910896,"09-OCT-25 14:33 , 1531540528, .088445, .007859, -.013253, .034940, -90.063927, -.057845, 1782.778, -2203.778, 928.704, 179.965, .077, .030"
1760042152.2469146,"09-OCT-25 14:33 , 1531540528, .119742, .007864, -.013262, .034940, -90.063927, -.057852, 1782.777, -2202.909, 928.704, 179.965, .077, .061"
